route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6,Cluster7,Cluster8,Cluster9,Cluster10
2,8021,20137.0::36401.0::181.00830054107232,36711.0::52374.0::214.9123731085999,52824.0::69200.0::162.52057889594528,69510.0::83550.0::273.36519379844964,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8011,20220.0::36503.0::181.17106798501504,36813.0::52459.0::214.785696024543,52909.0::69299.0::162.654240390482,69609.0::83633.0::273.343294008072,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8271,20292.0::38141.0::179.0180122135694,38468.0::54749.0::221.23152754744794,55090.0::70884.0::154.87963783715335,71194.0::83705.0::289.5576906164805,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8281,20375.0::36666.0::181.23384077097785,36976.0::52619.0::214.76772358243304,53069.0::69461.0::162.67429233772572,69771.0::83788.0::273.3252698609925,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8291,20449.0::37978.0::179.36485253009297,38301.0::54459.0::219.95822502784998,54909.0::70741.0::155.2847397675594,71041.0::83862.0::285.9866877835802,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8741,20543.0::37147.0::180.7681281618887,37457.0::53239.0::216.22766442782918,53689.0::69942.0::160.81249615455607,70252.0::83956.0::276.2380611270296,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8731,20615.0::38469.0::179.09728912288563,38796.0::54627.0::221.12440780746635,55077.0::71207.0::155.16862988220706,71517.0::84028.0::289.5576906164805,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8162,21538.0::31876.0::167.54207777132908,32137.0::40042.0::183.73225806451612,53717.0::66773.0::175.13664215686273,67168.0::73496.0::226.49510113780025,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8733,21385.0::37970.0::157.610039192041,38280.0::53929.0::223.90130359767397,54379.0::69179.0::158.46304054054053,69507.0::81639.0::265.48984632272226,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8742,21442.0::36114.0::153.44267993456924,36424.0::51736.0::215.7055250783699,52186.0::66446.0::169.6390603085554,66756.0::81696.0::243.12423580786026,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8292,21543.0::37498.0::154.0089940457537,37819.0::53188.0::221.05742078209383,53638.0::69030.0::162.44237266112265,69340.0::81797.0::262.51723372124013,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8282,21615.0::36610.0::153.59543181060354,36920.0::52363.0::217.1368581234216,52813.0::68487.0::166.34726298328442,68797.0::81869.0::256.87828504043125,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
2,8272,21701.0::37669.0::154.12662825651302,37983.0::53802.0::221.16957456223528,54252.0::69198.0::160.5978188143985,69508.0::81955.0::262.46879167778076,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0,0::0::0
