route_id,stop_id,EWTMedian
37,2957,nan
37,5810,nan
37,5811,nan
37,1648,nan
37,1649,nan
37,1650,nan
37,1651,nan
37,1943,nan
37,1968,nan
37,1969,nan
37,1251,nan
37,4853,nan
37,1652,nan
37,1736,nan
37,2153,nan
37,2156,nan
37,2157,nan
37,2161,nan
37,2167,nan
37,2168,nan
37,1953,nan
37,1944,nan
37,1938,nan
37,2104,nan
37,1630,nan
37,1739,nan
37,1653,nan
37,1921,nan
37,1942,nan
37,2355,nan
37,1632,nan
37,1633,nan
37,1636,nan
37,5858,nan
37,5859,nan
39,1943,124.94980419267449
39,1968,844.4824876572848
39,1969,420.731247038942
39,1921,269.7760951940547
39,1942,162.61727608846485
39,1903,241.76795485884216
39,1912,148.93296524424466
39,1976,196.1230952105399
39,1977,169.26128381763772
39,1986,327.53206420217913
39,3567,295.429807369748
39,6433,700.9258779000382
39,1729,392.9254062687244
39,1233,92.93247556279078
39,1776,360.2071625105402
39,6432,360.72885067949505
39,3502,1200.0567305773097
39,3503,71.19456735244992
39,1981,195.13314402157357
39,1983,386.09744524094305
39,1124,183.66579763843234
39,1906,177.32445471358196
39,1909,195.17109739589057
39,1910,334.3413471066463
39,3122,215.1708392380327
39,6112,293.59853739749013
39,1980,242.333215827623
39,4076,164.4989043426984
41,5501,364.448961998879
41,5502,194.6156008766612
41,5503,293.3810230107508
41,5504,176.41703866296461
41,5507,359.34144829219395
41,5508,153.76761823551092
41,5555,331.43420437193726
41,5556,193.51932851277118
41,5559,263.85751029687475
41,5560,333.77727369229416
41,5562,220.30321510986536
41,5509,199.6129267300466
41,5510,178.0425880820684
41,5512,288.69012365378364
41,5529,1479.5456733470062
41,5532,748.0952663663551
41,5515,521.7610176198885
41,5516,532.1375972816637
41,5517,326.5601760638128
41,5518,291.271588764164
41,5519,508.80102599332
41,5521,190.43988646138254
41,5522,283.7833781766728
41,5523,431.84052351989476
41,5524,329.2754691959841
41,5525,339.6713954912554
41,5533,1007.9434237405466
41,5530,250.297754239784
41,5551,380.3136752406917
41,5553,190.311630273808
41,5554,175.228491336767
43,1943,nan
43,1968,nan
43,1969,nan
43,1921,nan
43,1942,nan
43,4358,nan
43,4310,nan
43,3549,nan
43,6469,nan
43,2046,283.36625905229903
43,1754,nan
43,6468,nan
43,4407,nan
43,4076,-134.26607991214556
43,2714,nan
43,2715,nan
43,6440,nan
43,2717,nan
43,2718,nan
43,5424,nan
43,5415,nan
43,5416,nan
43,2074,nan
43,2080,nan
43,4401,nan
43,4402,nan
43,4403,nan
43,4408,nan
43,4405,nan
43,1724,250.70706099787614
43,1725,360.90579893099596
43,1752,nan
43,1753,nan
43,4452,nan
43,4449,nan
43,4454,nan
43,4455,nan
43,4456,nan
43,2079,nan
43,2016,nan
43,2018,nan
43,5451,nan
43,5459,nan
43,2759,nan
43,6439,nan
43,2762,nan
43,2763,nan
45,1553,nan
45,1554,nan
45,1540,nan
45,1525,nan
45,2015,409.64571741010514
45,2029,nan
45,2017,nan
45,2025,nan
45,9851,nan
45,2069,nan
45,2027,nan
45,9853,nan
45,2028,nan
45,1383,nan
45,1551,nan
45,2022,nan
45,1043,nan
45,2084,nan
45,2085,nan
45,9876,nan
45,2071,nan
45,2078,nan
45,2087,nan
36,1943,nan
36,1968,nan
