route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
2,8072,20906.0::36339.0::154.3374931805783,36649.0::52084.0::212.6731130547457,52534.0::66647.0::162.75168284560334,66957.0::82467.0::239.0348707197764,0::0::0,0::0::0
2,8082,20986.0::35808.0::154.41403970682416,36118.0::51717.0::209.98663375857427,52167.0::66424.0::164.95858174931612,66734.0::82547.0::237.21648532128927,0::0::0,0::0::0
2,8092,21061.0::37131.0::154.54496438141297,37441.0::53146.0::212.72839859917224,53596.0::67435.0::161.72198135703448,67745.0::82622.0::242.77637639833296,0::0::0,0::0::0
2,8102,21122.0::36575.0::154.55945246526832,36885.0::52309.0::212.60334543568464,52759.0::67189.0::162.71455301455302,67499.0::82683.0::240.81643306636155,0::0::0,0::0::0
2,8112,21195.0::37273.0::154.63247109543406,37583.0::53284.0::212.7041908158716,53734.0::67575.0::161.7637815186764,67885.0::82756.0::242.74818959842003,0::0::0,0::0::0
2,8122,21281.0::37054.0::154.6828179152226,37364.0::52922.0::214.0732741997686,53222.0::67354.0::163.02540333993772,67664.0::82842.0::240.78931177564743,0::0::0,0::0::0
2,8132,21364.0::37141.0::154.73034381663112,37451.0::53010.0::214.0790860595154,53310.0::67442.0::163.02540333993772,67752.0::82925.0::240.76866098905032,0::0::0,0::0::0
2,8142,21430.0::36282.0::154.76855073492862,36592.0::52178.0::209.9060695495958,52628.0::66891.0::165.0759657855991,67201.0::82991.0::237.11000685400958,0::0::0,0::0::0
2,8152,21500.0::36048.0::154.83442194644024,36358.0::51801.0::208.3449135530661,52251.0::66656.0::167.20503297466158,66966.0::83061.0::235.37848271231957,0::0::0,0::0::0
4,8381,21450.0::37903.0::202.08210667176448,38338.0::53188.0::225.0,53638.0::69106.0::193.88363072148954,69486.0::82384.0::276.8830051170724,0::0::0,0::0::0
4,8743,21517.0::38413.0::202.67073624194347,38863.0::54163.0::225.0,54613.0::69940.0::191.85192797024857,70326.0::82451.0::282.2113402061856,0::0::0,0::0::0
4,8753,21588.0::38937.0::203.36882874193742,39387.0::54687.0::225.0,55137.0::70017.0::190.88709677419354,70397.0::82522.0::282.2113402061856,0::0::0,0::0::0
4,8763,21673.0::38580.0::202.9556264321546,39030.0::53880.0::225.0,54330.0::69731.0::192.91477826115187,70111.0::82607.0::279.34002880921895,0::0::0,0::0::0
4,8471,20376.0::37609.0::200.39549869849535,38061.0::52911.0::225.0,53361.0::68664.0::191.56482389074037,69057.0::81310.0::283.4858810087326,0::0::0,0::0::0
