route_id,direction_id,stop_id_used,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
44,0,3402,23315.0::32795.0,33095.0::41795.0,42395.0::50795.0,51395.0::58853.0,59213.0::65333.0,65693.0::75875.0
44,1,3460,21358.0::31735.0,32155.0::40587.0,41187.0::48987.0,49587.0::57027.0,57387.0::63507.0,63867.0::69867.0
8,0,5119,24285.0::32625.0,33345.0::42585.0,43305.0::51885.0,54285.0::60885.0,61485.0::67365.0,68205.0::75165.0
8,1,5151,18572.0::24917.0,25517.0::32957.0,33677.0::42617.0,43337.0::52803.0,54903.0::64023.0,66197.0::85832.0
23,0,2073,23776.0::34611.0,35211.0::45351.0,46071.0::55311.0,55945.0::63805.0,64465.0::72796.0,81582.0::86622.0
23,1,2072,23614.0::31173.0,31773.0::39418.0,40138.0::47230.0,48010.0::54633.0,55233.0::61953.0,62553.0::69370.0
45,0,2027,26079.0::33339.0,53739.0::56566.0,57346.0::59506.0,60226.0::61666.0,62386.0::64546.0,74913.0::75513.0
45,1,9876,25619.0::28499.0,29219.0::31414.0,56185.0::59759.0,60479.0::63359.0,64105.0::65545.0,66265.0::66265.0
37,0,4856B,24960.0::32940.0,55260.0::57420.0,58140.0::60240.0,61020.0::63180.0,65400.0::66120.0,66900.0::67620.0
37,1,4804B,24340.0::27200.0,54620.0::54620.0,56900.0::57500.0,61400.0::63620.0,64340.0::65120.0,65840.0::65840.0
22,0,4347,24716.0::28256.0,31316.0::35036.0,52676.0::55556.0,56276.0::59816.0,60536.0::63416.0,64136.0::67016.0
22,1,1455,25377.0::37137.0,54837.0::56277.0,56997.0::59877.0,60597.0::63537.0,64257.0::68562.0,81282.0::81882.0
43,0,2076,25366.0::34099.0,34759.0::43339.0,44059.0::52039.0,52759.0::60859.0,61519.0::72586.0,87253.0::87253.0
43,1,2107,21968.0::26305.0,27163.0::32605.0,33205.0::39925.0,40585.0::47905.0,48625.0::56563.0,57283.0::65005.0
15,0,2869,21720.0::30900.0,31320.0::40740.0,41340.0::50760.0,51240.0::59640.0,60000.0::67080.0,67380.0::79680.0
15,1,6424F,25740.0::36240.0,36840.0::46560.0,47040.0::55380.0,55800.0::63540.0,63960.0::71580.0,84000.0::88500.0
16,0,6650G,18950.0::31376.0,31736.0::40736.0,41156.0::49736.0,50156.0::57569.0,57929.0::64556.0,64916.0::71063.0
16,1,2671F,19111.0::28802.0,29162.0::37922.0,38402.0::46922.0,47342.0::54662.0,55022.0::61322.0,61682.0::67382.0
11,0,5423,23596.0::32056.0,32476.0::41116.0,41596.0::50176.0,50656.0::58711.0,59191.0::66151.0,66511.0::73516.0
11,1,5467,19324.0::27124.0,27510.0::34590.0,35010.0::42570.0,43050.0::51570.0,51990.0::60450.0,60776.0::69836.0
46,1,4074B,24780.0::33960.0,34680.0::43320.0,44000.0::51980.0,52700.0::60880.0,61460.0::69580.0,73900.0::87240.0
