route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
4,8351,21209.0::33438.0::398.037037037037,33818.0::43926.0::421.1666666666667,44376.0::54276.0::450.0,54726.0::63897.0::382.125,64277.0::73143.0::403.0,73743.0::88133.0::600.0
4,8361,21302.0::33536.0::398.22222222222223,33916.0::44023.0::421.125,44473.0::54373.0::450.0,54823.0::63999.0::382.3333333333333,64379.0::73236.0::402.59090909090907,73836.0::88226.0::600.0
4,8371,21381.0::33623.0::398.22222222222223,34003.0::44111.0::421.1666666666667,44561.0::54461.0::450.0,54911.0::64089.0::382.4166666666667,64469.0::73315.0::402.09090909090907,73915.0::88305.0::600.0
4,8764,21223.0::29807.0::429.2,30187.0::39212.0::429.76190476190476,40112.0::50012.0::450.0,50462.0::60286.0::409.3333333333333,60666.0::70555.0::380.34615384615387,74060.0::82460.0::600.0
4,8754,21291.0::29875.0::429.2,30255.0::39280.0::429.76190476190476,40180.0::50080.0::450.0,50530.0::60354.0::409.3333333333333,60734.0::70623.0::380.34615384615387,74128.0::82528.0::600.0
4,8744,21357.0::29950.0::429.65,30330.0::39354.0::429.7142857142857,40254.0::50154.0::450.0,50604.0::60429.0::409.375,60809.0::70689.0::380.0,74194.0::82594.0::600.0
4,8382,21434.0::30032.0::429.9,30412.0::39435.0::429.6666666666667,40335.0::50235.0::450.0,50685.0::60510.0::409.375,60890.0::70766.0::379.84615384615387,74271.0::82671.0::600.0
4,8372,21506.0::30492.0::332.81481481481484,30872.0::40865.0::454.22727272727275,41315.0::51665.0::450.0,52115.0::61730.0::400.625,62110.0::70838.0::379.4782608695652,74343.0::82743.0::600.0
4,8362,21583.0::30578.0::333.14814814814815,30958.0::40949.0::454.1363636363636,41399.0::51749.0::450.0,52199.0::61815.0::400.6666666666667,62195.0::70915.0::379.1304347826087,74420.0::82820.0::600.0
4,8352,21666.0::30672.0::333.55555555555554,31052.0::41041.0::454.04545454545456,41491.0::51841.0::450.0,52291.0::61907.0::400.6666666666667,62287.0::70998.0::378.7391304347826,74503.0::82903.0::600.0
4,8342,21739.0::30754.0::333.8888888888889,31134.0::41118.0::453.8181818181818,41568.0::51918.0::450.0,52368.0::61986.0::400.75,62366.0::71071.0::378.4782608695652,74576.0::82976.0::600.0
4,8332,21802.0::30830.0::334.3703703703704,31210.0::41189.0::453.59090909090907,41639.0::51989.0::450.0,52439.0::62058.0::400.7916666666667,62438.0::71134.0::378.0869565217391,74639.0::83039.0::600.0
4,8322,21865.0::30902.0::334.7037037037037,31282.0::41258.0::453.45454545454544,41708.0::52058.0::450.0,52508.0::62128.0::400.8333333333333,62508.0::71197.0::377.7826086956522,74702.0::83102.0::600.0
4,8312,21938.0::30992.0::335.3333333333333,31372.0::41340.0::453.09090909090907,41790.0::52140.0::450.0,52590.0::62211.0::400.875,62591.0::71270.0::377.3478260869565,74775.0::83175.0::600.0
4,8302,22008.0::31073.0::335.74074074074076,31453.0::41419.0::453.0,41869.0::52219.0::450.0,52669.0::62291.0::400.9166666666667,62671.0::71340.0::376.9130434782609,74845.0::83245.0::600.0
4,8402,22072.0::31148.0::336.14814814814815,31528.0::41491.0::452.8636363636364,41941.0::52291.0::450.0,52741.0::62364.0::400.9583333333333,62744.0::71404.0::376.5217391304348,74909.0::83309.0::600.0
4,8412,22146.0::31230.0::336.44444444444446,31610.0::41569.0::452.6818181818182,42019.0::52369.0::450.0,52819.0::62444.0::401.0416666666667,62824.0::71478.0::376.2608695652174,74983.0::83383.0::600.0
4,8422,22217.0::31311.0::336.81481481481484,31691.0::41648.0::452.59090909090907,42098.0::52448.0::450.0,52898.0::62525.0::401.125,62905.0::71549.0::375.82608695652175,75054.0::83454.0::600.0
4,8432,22285.0::31387.0::337.1111111111111,31767.0::41723.0::452.54545454545456,42173.0::52523.0::450.0,52973.0::62601.0::401.1666666666667,62981.0::71617.0::375.4782608695652,75122.0::83522.0::600.0
4,8442,22362.0::31466.0::337.18518518518516,31846.0::41804.0::452.6363636363636,42254.0::52604.0::450.0,53054.0::62685.0::401.2916666666667,63065.0::71694.0::375.17391304347825,75199.0::83599.0::600.0
4,8462,22449.0::31561.0::337.48148148148147,31941.0::41900.0::452.6818181818182,42350.0::52700.0::450.0,53150.0::62781.0::401.2916666666667,63161.0::71781.0::374.7826086956522,75286.0::83686.0::600.0
