route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
2,8011,20220.0::31543.0::192.63521151638258,31853.0::42109.0::175.56425507020282,42559.0::53359.0::225.0,53809.0::63409.0::161.50552083333332,63719.0::73447.0::208.9645353618421,74047.0::84233.0::299.59729039858627
2,8271,20292.0::31618.0::192.66537171110718,31928.0::42184.0::175.56425507020282,42634.0::53434.0::225.0,53884.0::63484.0::161.50552083333332,63794.0::73519.0::208.93383033419022,74119.0::84305.0::299.59729039858627
2,8281,20375.0::31396.0::193.77828690681426,31706.0::42269.0::174.92298589415887,42719.0::53519.0::225.0,53969.0::63571.0::161.53999166840242,63881.0::73602.0::208.89430099783974,74202.0::84388.0::299.59729039858627
2,8291,20449.0::31473.0::193.81113933236574,31783.0::42344.0::174.8981630527412,42794.0::53594.0::225.0,54044.0::63647.0::161.55737790273872,63957.0::73676.0::208.87514147546045,74276.0::84462.0::299.59729039858627
2,8741,20543.0::31567.0::193.81113933236574,31877.0::42439.0::174.91052830903237,42889.0::53689.0::225.0,54139.0::63742.0::161.55737790273872,64052.0::73770.0::208.86571310969336,74370.0::84556.0::299.59729039858627
2,8731,20615.0::31644.0::193.9284159941971,31954.0::42512.0::174.86162151922713,42962.0::53762.0::225.0,54212.0::63818.0::161.60420570476785,64128.0::73842.0::208.82489190858556,74442.0::84628.0::299.59729039858627
2,8162,21538.0::31256.0::168.09518419427866,31517.0::40320.0::180.56872657048734,53717.0::58713.0::188.8228582866293,59108.0::63673.0::163.98411829134722,64068.0::68633.0::163.98411829134722,69028.0::73665.0::245.32380849687297
2,8733,21385.0::31407.0::158.44252644182797,31717.0::42229.0::180.4968607305936,42679.0::53479.0::225.0,53929.0::63289.0::163.8411324786325,63599.0::72639.0::163.8304203539823,73239.0::82239.0::340.0
2,8742,21442.0::31464.0::152.7201157453602,31774.0::42286.0::180.4968607305936,42736.0::53536.0::225.0,53986.0::63346.0::163.8411324786325,63656.0::72696.0::163.8304203539823,73296.0::82296.0::340.0
2,8292,21543.0::31571.0::152.80165536497807,31881.0::42388.0::180.43404397068622,42838.0::53638.0::225.0,54088.0::63450.0::163.87128818628497,63760.0::72797.0::163.77741507137324,73397.0::82397.0::340.0
2,8282,21615.0::31650.0::152.90119581464873,31960.0::42463.0::180.3812720175188,42913.0::53713.0::225.0,54163.0::63527.0::163.90185818026484,63837.0::72869.0::163.69120903454385,73469.0::82469.0::340.0
2,8272,21701.0::31742.0::152.99028981177173,32052.0::42552.0::180.34266666666667,43002.0::53802.0::225.0,54252.0::63618.0::163.93284219517403,63928.0::72955.0::163.60767696909272,73555.0::82555.0::340.0
2,8012,21767.0::31813.0::153.0671909217599,32123.0::42619.0::180.2924923780488,43069.0::53869.0::225.0,54319.0::63686.0::163.94731504216932,63996.0::73021.0::163.5750138504155,73621.0::82621.0::340.0
2,8022,21848.0::31897.0::153.0995621454871,32207.0::42703.0::180.2924923780488,43153.0::53953.0::225.0,54403.0::63770.0::163.94731504216932,64080.0::73102.0::163.5188428286411,73702.0::82702.0::340.0
2,8032,21905.0::31971.0::153.29952314722829,32281.0::42764.0::180.10125918153201,43214.0::54014.0::225.0,54464.0::63839.0::164.06682666666666,64149.0::73159.0::163.30377358490566,73759.0::82759.0::340.0
2,8042,21971.0::32045.0::153.4033154655549,32355.0::42832.0::180.01827813305334,43282.0::54082.0::225.0,54532.0::63909.0::164.09773914898156,64219.0::73225.0::163.2355096602265,73825.0::82825.0::340.0
2,8052,22046.0::32128.0::153.51329101368776,32438.0::42910.0::179.9516806722689,43360.0::54160.0::225.0,54610.0::63989.0::164.15188186373814,64299.0::73300.0::163.15259415620486,73900.0::82900.0::340.0
2,8062,22106.0::32194.0::153.6027954004758,32504.0::42973.0::179.91283790237844,43423.0::54223.0::225.0,54673.0::64054.0::164.20642788615285,64364.0::73360.0::163.06236104935527,73960.0::82960.0::340.0
2,8072,20906.0::31999.0::170.03385017578654,32309.0::43534.0::180.98525612472162,43984.0::54784.0::212.5,55234.0::64477.0::160.99367088607596,64787.0::73467.0::163.2418202764977,74067.0::83067.0::340.0
2,8082,20986.0::32088.0::170.1550171140335,32398.0::43617.0::180.9146537124521,44067.0::54867.0::212.5,55317.0::64564.0::161.10787282361846,64874.0::73547.0::163.12054652369423,74147.0::83147.0::340.0
2,8092,21061.0::32171.0::170.25859585958597,32481.0::43696.0::180.8693267944717,44146.0::54946.0::212.5,55396.0::64645.0::161.1655854686993,64955.0::73622.0::163.0209415022499,74222.0::83222.0::340.0
2,8102,21122.0::32235.0::170.29888418968775,32545.0::43759.0::180.8582129481006,44209.0::55009.0::212.5,55459.0::64709.0::161.19686486486486,65019.0::73683.0::162.970567867036,74283.0::83283.0::340.0
2,8112,21195.0::32313.0::170.3677819751754,32623.0::43834.0::180.82405672999732,44284.0::55084.0::212.5,55534.0::64785.0::161.2282455950708,65095.0::73756.0::162.92119847592656,74356.0::83356.0::340.0
2,8122,21281.0::32404.0::170.438865414007,32714.0::43922.0::180.7906852248394,44372.0::55172.0::212.5,55622.0::64874.0::161.25972762645915,65184.0::73842.0::162.87283437283438,74442.0::83442.0::340.0
2,8132,21364.0::32491.0::170.49730385548665,32801.0::44010.0::180.8017218306718,44460.0::55260.0::212.5,55710.0::64962.0::161.25972762645915,65272.0::73925.0::162.7944643476251,74525.0::83525.0::340.0
2,8142,21430.0::32562.0::170.5610851598994,32872.0::44078.0::180.76887381759772,44528.0::55328.0::212.5,55778.0::65031.0::161.2913109261861,65341.0::73991.0::162.74393063583815,74591.0::83591.0::340.0
2,8152,21500.0::32638.0::170.64050996588256,32948.0::44151.0::180.73466928501296,44601.0::55401.0::212.5,55851.0::65106.0::161.3547811993517,65416.0::74061.0::162.66194331983806,74661.0::83661.0::340.0
4,8381,21450.0::32559.0::219.6297146457827,32939.0::43288.0::208.36510773987825,43738.0::54088.0::225.0,54538.0::63786.0::193.08953287197232,64166.0::73384.0::204.1697765241918,73984.0::88374.0::300.0
4,8743,21517.0::32634.0::219.8681748673203,33014.0::43363.0::208.36510773987825,43813.0::54163.0::225.0,54613.0::64240.0::192.94842630102835,64620.0::74051.0::210.69987276004665,74651.0::88441.0::300.0
