route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
4,8442,25951.0::49077.0::268.20840595254055,49457.0::67693.0::189.96123053301162,68073.0::82999.0::283.1330985915493,0::0::0,0::0::0,0::0::0
4,8462,26038.0::48787.0::269.5759579980908,49167.0::67404.0::189.97167845588638,67784.0::83086.0::280.4141836424445,0::0::0,0::0::0,0::0::0
4,8472,26113.0::48865.0::269.5842727272727,49245.0::67483.0::189.98212523302993,67863.0::83161.0::280.3857208029197,0::0::0,0::0::0,0::0::0
5,5770F,18540.0::37800.0::345.34090909090907,38520.0::51720.0::279.27272727272725,52140.0::64860.0::228.39622641509433,65340.0::80400.0::270.7171314741036,0::0::0,0::0::0
5,5771,18720.0::37980.0::345.34090909090907,38700.0::51900.0::279.27272727272725,52320.0::65040.0::228.39622641509433,65520.0::80580.0::270.7171314741036,0::0::0,0::0::0
5,5772,18809.0::38069.0::345.34090909090907,38789.0::51989.0::279.27272727272725,52409.0::65129.0::228.39622641509433,65609.0::80669.0::270.7171314741036,0::0::0,0::0::0
5,5773,18884.0::38144.0::345.34090909090907,38864.0::52064.0::279.27272727272725,52484.0::65204.0::228.39622641509433,65684.0::80744.0::270.7171314741036,0::0::0,0::0::0
5,5806,18960.0::38220.0::345.34090909090907,38940.0::52140.0::279.27272727272725,52560.0::65280.0::228.39622641509433,65760.0::80820.0::270.7171314741036,0::0::0,0::0::0
5,5776,19140.0::39840.0::347.1,40560.0::54540.0::262.0171673819743,55080.0::67260.0::226.55172413793105,67740.0::80280.0::272.00956937799043,0::0::0,0::0::0
5,5701,25920.0::43200.0::360.0,43920.0::60300.0::229.78021978021977,60720.0::77400.0::252.9496402877698,0::0::0,0::0::0,0::0::0
5,5700G,26040.0::42600.0::360.0,43320.0::59520.0::235.77777777777777,59940.0::77520.0::251.56996587030716,0::0::0,0::0::0,0::0::0
5,5704F,26129.0::42689.0::360.0,43409.0::59609.0::235.77777777777777,60029.0::77609.0::251.56996587030716,0::0::0,0::0::0,0::0::0
5,5705,26191.0::42751.0::360.0,43471.0::59671.0::235.77777777777777,60091.0::77671.0::251.56996587030716,0::0::0,0::0::0,0::0::0
5,5706,26280.0::42840.0::360.0,43560.0::59760.0::235.77777777777777,60180.0::77760.0::251.56996587030716,0::0::0,0::0::0,0::0::0
5,5707,26460.0::43020.0::360.0,43740.0::59940.0::235.77777777777777,60360.0::77940.0::251.56996587030716,0::0::0,0::0::0,0::0::0
5,2338F,18660.0::35220.0::333.68715083798884,35940.0::49740.0::280.17391304347825,50220.0::63660.0::225.0,64080.0::78060.0::258.15450643776825,0::0::0,0::0::0
5,2318G,18740.0::35300.0::333.68715083798884,36020.0::49820.0::280.17391304347825,50300.0::63260.0::224.44444444444446,63740.0::78140.0::256.75,0::0::0,0::0::0
5,2543F,18840.0::35400.0::333.68715083798884,36120.0::49920.0::280.17391304347825,50400.0::63840.0::225.0,64260.0::78240.0::258.15450643776825,0::0::0,0::0::0
5,6178,18894.0::35454.0::333.68715083798884,36174.0::49974.0::280.17391304347825,50454.0::63414.0::224.44444444444446,63894.0::78294.0::256.75,0::0::0,0::0::0
5,6179,28822.0::41782.0::360.0,42502.0::55882.0::245.24663677130044,56302.0::69862.0::226.99115044247787,70282.0::88435.0::284.10762173606213,0::0::0,0::0::0
5,2537F,28920.0::41880.0::360.0,42600.0::55980.0::245.24663677130044,56400.0::69960.0::226.99115044247787,70380.0::88500.0::283.8679245283019,0::0::0,0::0::0
5,2200F,28992.0::43392.0::360.0,44112.0::58290.0::230.41345746931867,58770.0::72192.0::224.93831023692445,72672.0::88567.0::295.78013339685566,0::0::0,0::0::0
5,2337F,29114.0::42074.0::360.0,42794.0::56223.0::246.19260555514185,56643.0::70154.0::226.16242321071718,70574.0::88680.0::282.4651345820872,0::0::0,0::0::0
5,0531,19140.0::35700.0::333.68715083798884,36420.0::50220.0::280.17391304347825,50700.0::64140.0::225.0,64560.0::78540.0::258.15450643776825,0::0::0,0::0::0
5,0511,20220.0::38700.0::355.97014925373134,39420.0::52140.0::273.9622641509434,52620.0::64680.0::224.32835820895522,65160.0::78660.0::258.8,0::0::0,0::0::0
5,0501,20304.0::40240.0::356.19718309859155,40960.0::54040.0::257.88990825688074,54520.0::66160.0::224.84536082474227,66580.0::78744.0::262.55244985202233,0::0::0,0::0::0
5,0601,20375.0::38885.0::355.7142857142857,39605.0::52325.0::273.9622641509434,52805.0::65345.0::224.92822966507177,65765.0::78815.0::259.7586206896552,0::0::0,0::0::0
5,0611,20443.0::38967.0::355.7142857142857,39687.0::52407.0::273.9622641509434,52887.0::64947.0::224.32835820895522,65427.0::78883.0::257.95243757431626,0::0::0,0::0::0
5,0621,20520.0::39060.0::355.7142857142857,39780.0::52500.0::273.9622641509434,52980.0::65040.0::224.32835820895522,65520.0::78960.0::257.67857142857144,0::0::0,0::0::0
5,0702,20640.0::39180.0::355.7142857142857,39900.0::52620.0::273.9622641509434,53100.0::65220.0::225.44554455445544,65700.0::79080.0::256.8161434977578,0::0::0,0::0::0
