route_id,stop_id,Cluster1,Cluster2,Cluster3,Cluster4,Cluster5,Cluster6
2,8132,28303.0::49097.0::254.663086548488,49547.0::67097.0::225.0,67547.0::82925.0::279.0002601118481,0::0::0,0::0::0,0::0::0
2,8142,28370.0::49159.0::254.57196870925685,49609.0::67159.0::225.0,67609.0::82991.0::279.04524769210764,0::0::0,0::0::0,0::0::0
2,8152,28443.0::49676.0::253.78243029716091,50126.0::67676.0::225.0,68126.0::83061.0::280.70910612654836,0::0::0,0::0::0,0::0::0
4,8381,27109.0::47708.0::266.86899849507256,48158.0::66158.0::225.0,66608.0::82384.0::285.3121830628803,0::0::0,0::0::0,0::0::0
4,8743,27176.0::47778.0::266.90855256771187,48228.0::66228.0::225.0,66678.0::82451.0::285.28228618525327,0::0::0,0::0::0,0::0::0
4,8753,27247.0::47849.0::266.90855256771187,48299.0::66299.0::225.0,66749.0::82522.0::285.28228618525327,0::0::0,0::0::0,0::0::0
4,8763,27332.0::49289.0::264.3982556815594,49739.0::67741.0::225.02510832129764,68191.0::82607.0::290.8535654827969,0::0::0,0::0::0,0::0::0
4,8471,26035.0::46589.0::265.97689014303785,47039.0::65038.0::224.98802711261737,65488.0::81310.0::285.82846669194794,0::0::0,0::0::0,0::0::0
4,8461,26097.0::48001.0::263.4513787436085,48451.0::66450.0::224.98802711261737,66900.0::81372.0::291.50276395798784,0::0::0,0::0::0,0::0::0
4,8441,26182.0::46741.0::266.0546475995914,47191.0::65191.0::225.0005,65641.0::81457.0::285.7513909964593,0::0::0,0::0::0,0::0::0
4,8431,26249.0::48159.0::263.5334094020995,48609.0::66609.0::225.0005,67059.0::81524.0::291.40743173176634,0::0::0,0::0::0,0::0::0
4,8421,26324.0::48234.0::263.5334094020995,48684.0::66684.0::225.0005,67134.0::81599.0::291.40743173176634,0::0::0,0::0::0,0::0::0
4,8411,26394.0::46955.0::266.10614756091627,47405.0::65406.0::225.01286039664464,65856.0::81669.0::285.716088028837,0::0::0,0::0::0,0::0::0
4,8401,26457.0::48370.0::263.6225300050198,48820.0::66822.0::225.02527496944785,67272.0::81732.0::291.3479253112033,0::0::0,0::0::0,0::0::0
